V,Rinit,Rfinal,dR,dw,w
-1.584,2338459235.979,1223762531.329,-1114696704.65,0.6219450712573764,0.2402552638078411
0.392,1223762531.328,1225032310.227,1269778.899,-0.001352401610734244,0.8622003350662837
0.567,1225032310.227,1227833763.587,2801453.36,-0.0029738465172454154,0.8608479334555494
0.332,1227833763.587,1229229856.764,1396093.177,-0.0014769439074076018,0.857874086938304
1.74,1229229856.764,2219667138.716,990437281.952,-0.5795998919031732,0.8563971430308964
0.499,2219667138.716,2206306174.624,-13360964.092,0.004356186179467536,0.27679725112772324
-1.097,2206306174.624,1469173075.935,-737133098.689,0.36310266795866775,0.2811534373071908
-0.943,1469173075.934,1442158623.027,-27014452.907,0.020357875483833276,0.6442561052665982
-0.223,1442158623.027,1443523236.033,1364613.006,-0.00104663430452423,0.6646139807504314
1.942,1443523236.033,2456444174.236,1012920938.203,-0.4561074225207433,0.6635673464459072
2.576,2456444174.236,2990193659.893,533749485.657,-0.1160255199939228,0.20745992392516388
1.493,2990193659.892,2989038448.748,-1155211.144,0.00020637297312314784,0.09143440393141972
-1.2,2989038448.749,1602589785.0930002,-1386448663.656,0.4621385429264039,0.09164077690436415
1.335,1602589785.093,2119407413.6869998,516817628.594,-0.24295328107035846,0.5537793198307681
-1.496,2119407413.687,1310620283.815,-808787129.872,0.4649060164700817,0.3108260387604095
-2.228,1310620283.815,1180404111.348,-130216172.467,0.1343939121165395,0.7757320552304912
1.017,1180404111.348,1340217584.325,159813472.977,-0.16129824167778606,0.9101259673470307
2.381,1340217584.325,2825998336.9,1485780752.575,-0.6263683186742652,0.7488277256692446
-1.241,2825998336.9,1457757822.693,-1368240514.207,0.5303070885717828,0.12245940699497937
-1.09,1457757822.693,1424425333.405,-33332489.288,0.02563096440813517,0.6527664955667621
1.435,1424425333.405,2094827608.7810001,670402275.376,-0.358731712340339,0.6783974599748973
-2.876,2094827608.78,1180839695.1069999,-913987913.673,0.5899612521765039,0.31966574763492234
1.378,1180839695.107,1747102539.632,566262844.525,-0.43825915415807065,0.9096269998114258
-2.685,1747102539.632,1171241340.1339998,-575861199.498,0.4493402252060276,0.47136784565335516
-1.927,1171241340.134,1162469666.8070002,-8771673.327,0.010286714729629831,0.9207080708593826
1.462,1162469666.807,1809343176.763,646873509.956,-0.49106508811920935,0.9309947855890127
1.743,1809343176.763,2256699576.868,447356400.105,-0.17493682073028505,0.43992969746980337
-0.302,2256699576.869,2234546990.289,-22152586.58,0.0070142860392653494,0.2649928767392048
-0.618,2234546990.289,2155508050.553,-79038939.736,0.026201384096158464,0.27200716277847015
-1.728,2155508050.553,1211632887.3509998,-943875163.202,0.5770535607719804,0.2982085468746286
-1.708,1211632887.351,1195075095.5310001,-16557791.82,0.018258220090821786,0.8752621076466087
1.993,1195075095.531,2452448555.293,1257373459.762,-0.6850013951129024,0.8935203277374308
2.204,2452448555.293,2756945607.531,304497052.238,-0.07190800794996713,0.20851893262452842
0.681,2756945607.531,2742727999.55,-14217607.981,0.0030021878729183105,0.1366109246745613
-2.73,2742727999.55,1186155196.5460002,-1556572803.004,0.7639544255019155,0.1396131125474796
2.328,1186155196.546,2749046424.5220003,1562891227.976,-0.7652924568476018,0.903567538049395
0.99,2749046424.521,2715037779.75,-34008644.771,0.007275345854399817,0.13827508120200466
0.368,2715037779.751,2696177225.1219997,-18860554.629,0.004113887543814088,0.14555042705618787
0.186,2696177225.121,2683529968.9909997,-12647256.13,0.002791024811558046,0.14966431460022162
2.635,2683529968.992,2981307944.5150003,297777975.523,-0.05942942862621234,0.15245533941155787
1.72,2981307944.515,3007796961.674,26489017.159,-0.004716640327825136,0.09302591078534561
-1.805,3007796961.674,1241838790.6969998,-1765958170.977,0.7548991626523667,0.08830927045752048
2.78,1241838790.697,2970071333.6879997,1728232542.991,-0.7481563149527681,0.8432084331098868
-1.593,2970071333.688,1280323665.8220003,-1689747667.866,0.7095082854557413,0.09505211815711863
-2.74,1280323665.823,1169912198.09,-110411467.733,0.11769646247945753,0.804560403611886
2.196,1169912198.09,2725523436.776,1555611238.686,-0.7789689574320158,0.9222568660913435
1.34,2725523436.776,2732540942.002,7017505.226,-0.0015044869155724228,0.14328790865932778
2.757,2732540942.003,3061760297.849,329219355.846,-0.06283039135420906,0.14178342174354147
1.799,3061760297.848,3054906600.0490003,-6853697.799,0.0011699790793385095,0.0789530303895027
2.715,3054906600.049,3134982961.3669996,80076361.318,-0.013350375403162765,0.0801230094688413
1.725,3134982961.368,3127907976.948,-7074984.42,0.001152016247931556,0.06677263406551599
-1.85,3127907976.947,1237677374.638,-1890230602.309,0.7796068375317997,0.06792465031361074
1.937,1237677374.639,2670924119.7139997,1433246745.075,-0.6922679591381735,0.847531487844368
1.091,2670924119.713,2648441855.4449997,-22482264.268,0.0050746994319110506,0.15526352870641827
-1.404,2648441855.445,1339432214.6840003,-1309009640.761,0.5891880520821758,0.16033822813832924
-2.142,1339432214.684,1181683899.557,-157748315.127,0.15913471844013338,0.7495262802205054
1.326,1181683899.557,1705138135.372,523454235.815,-0.41480129316378234,0.9086609986606388
-0.545,1705138135.372,1676930178.078,-28207957.294,0.01575140718802226,0.4938597054968564
1.86,1676930178.077,2429876793.097,752946615.02,-0.2950442943460453,0.5096111126854466
-1.451,2429876793.097,1273852895.467,-1156023897.63,0.5963284771151739,0.21456681833940125
2.716,1273852895.468,2909753274.7460003,1635900379.278,-0.7046990367522472,0.8108952954535912
-1.298,2909753274.745,1443184183.8549998,-1466569090.89,0.5576309500382706,0.10619625870153264
0.395,1443184183.856,1444137164.148,952980.292,-0.0007300892992532226,0.6638272087390364
-1.921,1444137164.148,1213588551.006,-230548613.142,0.21004138237109593,0.6630971194397832
-0.062,1213588551.006,1216811467.232,3222916.226,-0.0034847892743983255,0.8731385018108792
1.093,1216811467.231,1424121050.289,207309583.058,-0.19101674814463643,0.8696537125375596
-2.978,1424121050.289,1170480482.238,-253640568.051,0.24295727281061297,0.6786369643929232
0.3,1170480482.238,1172834800.3539999,2354318.116,-0.0027383338393407453,0.9215942372035362
0.158,1172834800.354,1172099347.14,-735453.214,0.0008542324228147935,0.9188559033641951
0.198,1172099347.141,1173839806.082,1740458.941,-0.0020198205872373753,0.9197101357858476
-2.944,1173839806.082,1158349236.503,-15490569.579,0.01819036050648437,0.9176903151986102
