# pulseAmplitude,deltaCpos (at 0.65 V),CposInitial
-1.143000000000000016e+00,1.153341288208512857e-13,1.318155488149035807e-12
-1.143000000000000016e+00,-1.368255260043012421e-14,1.202821359328184521e-12
-1.143000000000000016e+00,1.163184448913664309e-14,1.216503911928614645e-12
-1.143000000000000016e+00,-8.066571457909246621e-15,1.204872067439478002e-12
-1.143000000000000016e+00,-9.965758923198919959e-14,1.212938638897387249e-12
-1.143000000000000016e+00,1.058401117112418317e-13,1.312596228129376448e-12
-1.143000000000000016e+00,-9.775742726286172616e-14,1.206756116418134617e-12
-1.143000000000000016e+00,9.295514357347333975e-14,1.304513543680996343e-12
-1.143000000000000016e+00,-9.716751680189338907e-14,1.211558400107523003e-12
-1.143000000000000016e+00,-2.410979157449284266e-15,1.308725916909416392e-12
-1.143000000000000016e+00,1.273051163959043584e-13,1.311136896066865676e-12
-1.143000000000000016e+00,-1.239343570397924411e-13,1.183831779670961318e-12
-1.143000000000000016e+00,1.025628818439972330e-13,1.307766136710753759e-12
-1.143000000000000016e+00,-8.596464911219915297e-14,1.205203254866756526e-12
-1.143000000000000016e+00,8.564176940528197772e-14,1.291167903978955679e-12
-1.143000000000000016e+00,6.507913862870881546e-15,1.205526134573673701e-12
-1.199000000000000066e+00,-3.211028380330209061e-14,1.199018220710802820e-12
-1.199000000000000066e+00,2.738155854574136066e-15,1.231128504514104910e-12
-1.199000000000000066e+00,-8.686924247720953769e-14,1.228390348659530774e-12
-1.199000000000000066e+00,-4.199548067656879315e-15,1.315259591136740312e-12
-1.199000000000000066e+00,3.633348984775920854e-15,1.319459139204397191e-12
-1.199000000000000066e+00,9.665631677544718606e-14,1.315825790219621271e-12
-1.199000000000000066e+00,-8.667555604720791811e-14,1.219169473444174085e-12
-1.199000000000000066e+00,9.561460065650116595e-15,1.305845029491382003e-12
-1.199000000000000066e+00,-1.572673005679025578e-14,1.296283569425731886e-12
-1.199000000000000066e+00,8.027564485668712942e-14,1.312010299482522142e-12
-1.199000000000000066e+00,3.899166829045227043e-15,1.231734654625835012e-12
-1.199000000000000066e+00,-5.021288111709018257e-14,1.227835487796789785e-12
