pulseAmplitude,deltaRneg(measured at -80mV),RnegInitial,deltaRpos(measured at +80mV),RposInitial
-1.626,-118211759.542,1104633662.054,-133037797.178,1319474453.325
-1.776,-25186137.813,986421902.512,-29842479.02,1186436656.147
-2.783,-40143441.313,961235764.699,-41721299.113,1156594177.127
-0.059,21814658.84,921092323.386,2248969.259,1114872878.014
-2.045,-20421159.68,942906982.226,-7397891.107,1117121847.273
1.598,579540034.829,922485822.546,653427500.748,1109723956.166
0.79,-19709886.903,1502025857.375,-8980147.175,1763151456.914
2.092,432803080.51,1482315970.472,503408372.947,1754171309.739
2.315,159452459.239,1915119050.982,203728551.867,2257579682.686
-0.862,-393547497.633,2074571510.221,-434837460.061,2461308234.553
0.401,-3543889.679,1681024012.588,-9117501.639,2026470774.492
-2.121,-732798327.163,1677480122.909,-871425042.338,2017353272.853
0.398,22454899.355,944681795.746,302104.471,1145928230.515
2.654,1086595089.582,967136695.1,1297656495.947,1146230334.986
0.13,-49771960.069,2053731784.683,-52014413.407,2443886830.933
2.836,176439908.07,2003959824.613,199867060.822,2391872417.525
1.127,-39682924.363,2180399732.683,-22292134.353,2591739478.348
2.227,56556595.114,2140716808.32,50133234.959,2569447343.994
0.886,-24868056.492,2197273403.434,-15724137.371,2619580578.954
1.088,-16142021.908,2172405346.941,-12352040.884,2603856441.583
-0.328,-7470141.005,2156263325.034,-8934808.518,2591504400.698
0.907,-5523078.949,2148793184.028,-971738.004,2582569592.18
-2.098,-1192880445.319,2143270105.079,-1430575026.516,2581597854.176
-1.171,8638269.53,950389659.761,-5698328.597,1151022827.66
-1.169,906795.148,959027929.291,1211386.076,1145324499.064
-1.276,-1495064.206,959934724.439,-709414.83,1146535885.14
1.396,414767017.671,958439660.233,480628139.204,1145826470.31
2.833,747648111.41,1373206677.904,896451803.903,1626454609.515
-1.929,-1160922368.557,2120854789.314,-1364456535.199,2522906413.417
-2.299,-27553222.137,959932420.758,-31905103.696,1158449878.218
-2.877,-8864671.737,932379198.62,-10958924.613,1126544774.522
1.484,519320355.093,923514526.884,592148264.428,1115585849.909
0.933,-15583660.784,1442834881.976,-13083828.725,1707734114.337
-1.096,-347334698.739,1427251221.192,-400759069.516,1694650285.612
1.493,371130589.419,1079916522.453,421154753.567,1293891216.096
-2.001,-514208753.962,1451047111.872,-583758343.744,1715045969.663
-2.335,-13330227.575,936838357.91,-14917169.547,1131287625.919
-1.897,223931.943,923508130.335,-3528257.396,1116370456.372
-1.877,151482.201,923732062.278,-1082561.41,1112842198.976
-2.659,-5877545.31,923883544.479,-4897646.654,1111759637.566
0.76,38094639.984,918005999.169,27172364.658,1106861990.913
2.966,1124446711.244,956100639.153,1346319690.166,1134034355.571
0.614,-47312086.778,2080547350.397,-29408195.096,2480354045.736
-1.715,-1065600236.199,2033235263.619,-1277360900.694,2450945850.641
-1.656,-8487517.727,967635027.42,-12879809.967,1173584949.947
-0.633,17651081.763,959147509.693,-16503.412,1160705139.98
1.871,818819651.127,976798591.456,985074098.936,1160688636.568
2.858,332319774.838,1795618242.584,379233145.596,2145762735.504
-1.03,-683680925.216,2127938017.421,-778060442.593,2524995881.1
-2.89,-527147729.206,1444257092.205,-631850287.817,1746935438.507
2.718,1186602584.139,917109362.999,1362158271.919,1115085150.69
-1.933,-1155851386.905,2103711947.138,-1335606200.669,2477243422.609
0.5,20601473.634,947860560.233,2579904.702,1141637221.94
1.804,782063561.443,968462033.867,924945674.57,1144217126.642
-0.839,-259329245.759,1750525595.31,-288012712.6,2069162801.212
2.396,569066333.941,1491196349.551,661035740.971,1781150088.612
0.113,-38154979.97,2060262683.492,-25121354.388,2442185829.583
1.342,12554807.007,2022107703.523,21943555.849,2417064475.195
-0.598,-48400491.782,2034662510.529,-63636359.607,2439008031.044
-3,-1059175088.124,1986262018.747,-1249296269.427,2375371671.436
2.179,1083269420.117,927086930.624,1256114867.101,1126075402.009
2.316,120511994.091,2010356350.741,147953227.978,2382190269.11
1.794,-9806626.178,2130868344.832,1064718.201,2530143497.088
0.173,-22697760.573,2121061718.654,-16701080.69,2531208215.289
-0.062,-6496459.06,2098363958.081,-12912367.936,2514507134.6
-1.544,-1071193752.281,2091867499.021,-1262222384.838,2501594766.664
-1.832,-59770497.686,1020673746.74,-76797977.064,1239372381.826
2.055,1002362093.128,960903249.054,1160220986.58,1162574404.762
-0.83,-297261606.169,1963265342.182,-330226676.364,2322795391.342
0.267,-6987209.305,1666003736.013,-10162569.518,1992568714.977
-2.231,-726050160.145,1659016526.708,-846868354.761,1982406145.459
1.648,679096376.532,932966366.562,782164035.434,1135537790.698
0.57,-15460313.065,1612062743.094,-18756120.787,1917701826.132
-1.137,-483828339.861,1596602430.029,-560678627.384,1898945705.344
-2.649,-193635323.193,1112774090.168,-221114030.786,1338267077.961
2.663,1129968078.578,919138766.975,1303877476.573,1117153047.175
-2.102,-1111873371.323,2049106845.554,-1288702414.693,2421030523.748
2.819,1152274791.342,937233474.231,1354689658.2,1132328109.055
-1.192,-907143239.93,2089508265.572,-1056197907.475,2487017767.255
-0.474,8727980.855,1182365025.643,-1360124.087,1430819859.78
2.583,899477839.551,1191093006.497,1050266948.832,1429459735.693
0.428,-40520927.333,2090570846.049,-20444708.787,2479726684.525
0.099,-11608999.868,2050049918.716,-14013204.021,2459281975.738
-1.316,-920516680.573,2038440918.848,-1097114731.636,2445268771.717
-0.178,10562432.887,1117924238.274,-2426556.625,1348154040.081
1.525,546846353.631,1128486671.162,656037072,1345727483.456
-1.786,-711925645.574,1675333024.793,-833802911.316,2001764555.456
2.527,1107572344.336,963407379.219,1293320844.02,1167961644.14
2.476,89364246.412,2070979723.555,122785312.611,2461282488.16
-0.615,-94368062.345,2160343969.967,-110868011.982,2584067800.771
1.992,58433772.038,2065975907.622,72320477.371,2473199788.789
-2.14,-1185673922.042,2124409679.66,-1406282643.976,2545520266.16
-1.052,8985564.927,938735757.618,-6500674.853,1139237622.183
0.649,13713137.67,947721322.545,8724351.424,1132736947.331
-0.314,1184633.816,961434460.215,111085.924,1141461298.755
2.849,1118470564.514,962619094.031,1341446867.411,1141572384.679
0.046,-24063758.018,2081089658.545,-14694035.433,2483019252.09
0.138,-14195927.309,2057025900.527,-11131074.362,2468325216.657
-0.878,-359496906.413,2042829973.218,-428066007.926,2457194142.295
2.082,399364609.841,1683333066.806,462558974.514,2029128134.369
-2.311,-1144925869.349,2082697676.647,-1354965017.542,2491687108.883
0.356,23221475.36,937771807.297,3447508.887,1136722091.341
-2.479,-36885624.115,960993282.657,-21441817.463,1140169600.228
-0.158,20119220.292,924107658.542,798433.74,1118727782.765
2.277,1053228363.187,944226878.834,1268251228.31,1119526216.505
1.939,61183009.947,1997455242.022,78373097.645,2387777444.815
-0.055,-22451134.518,2058638251.969,-19276760.163,2466150542.461
1.219,2761906.274,2036187117.451,9381840.225,2446873782.298
-0.227,-11782971.459,2038949023.726,-11574179.794,2456255622.523
0.463,-3680466.819,2027166052.266,-3418235.495,2444681442.729
-0.449,-7594314.559,2023485585.447,-7028618.83,2441263207.234
2.067,70385668.815,2015891270.888,68047179.783,2434234588.404
-0.554,-61594030.355,2086276939.703,-63026838.606,2502281768.187
0.688,-6316786.816,2024682909.348,-5477999.84,2439254929.582
-0.799,-220419377.715,2018366122.532,-260394238.887,2433776929.742
-0.448,-1907639.658,1797946744.817,-1842998.637,2173382690.854
1.708,192427786.867,1796039105.159,214559846.312,2171539692.217
1.722,20617181.613,1988466892.026,19424989.102,2386099538.528
-2.83,-1081087340.187,2009084073.639,-1274053218.914,2405524527.63
-1.9,-3968060.842,927996733.451,-15359396.175,1131471308.716
-2.544,-4972267.821,924028672.61,-5602327.456,1116111912.541
0.463,20078276.515,919056404.789,4320102.383,1110509585.086
1.955,912532003.879,939134681.305,1099741192.364,1114829687.469
